COUNTY,STATION
Alcona,
Alger,
Allegan,"HOLLAND TULIP CITY AIRPORT, MI US"
Alpena,
Antrim,
Arenac,
Baraga,
Barry,
Bay,
Benzie,
Berrien,
Branch,
Calhoun,
Cass,
Charlevoix,
Cheboygan,
Chippewa,
Clare,
Clinton,
Crawford,
Delta,
Dickinson,
Eaton,
Emmet,
Genesee,"FLINT 7 W, MI US"
Gladwin,
Gogebic,
Grand Traverse,"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US"
Gratiot,
Hillsdale,
Houghton,
Huron,
Ingham,"LANSING CAPITAL CITY AIRPORT, MI US"
Ionia,
Iosco,
Iron,
Isabella,
Jackson,
Kalamazoo,
Kalkaska,
Kent,"NWSFO GRAND RAPIDS, MI US"
Keweenaw,
Lake,
Lapeer,
Leelanau,
Lenawee,
Livingston,
Luce,
Mackinac,
Macomb,
Manistee,
Marquette,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US"
Mason,
Mecosta,
Menominee,
Midland,"MIDLAND, MI US"
Missaukee,
Monroe,
Montcalm,
Montmorency,
Muskegon,
Newaygo,
Oakland,
Oceana,
Ogemaw,
Ontonagon,
Osceola,
Oscoda,
Otsego,
Ottawa,
Presque Isle,
Roscommon,
Saginaw,"SAGINAW NUMBER 3, MI US"
Sanilac,
Schoolcraft,
Shiawassee,
St Clair,
St Joseph,
Tuscola,
Van Buren,
Washtenaw,"ANN ARBOR SE, MI US"
Wayne,"DETROIT METRO AIRPORT, MI US"
Wexford,
